sucursal,horizonte,dias,escenario_temporada,factor_temporada,tamano,bowls_estimados,kg_arroz_estimado,kg_proteina_estimado
Campanario,7_dias,7,Temporada Baja (cuesta enero),0.85,Chico,609.3,91.39,18.28
Campanario,7_dias,7,Temporada Baja (cuesta enero),0.85,Mediano,1017.4,203.48,61.05
Campanario,7_dias,7,Temporada Baja (cuesta enero),0.85,Grande,407.8,122.33,36.7
Campanario,7_dias,7,Temporada Normal,1.0,Chico,716.8,107.52,21.5
Campanario,7_dias,7,Temporada Normal,1.0,Mediano,1197.0,239.39,71.82
Campanario,7_dias,7,Temporada Normal,1.0,Grande,479.7,143.91,43.17
Campanario,7_dias,7,Temporada Alta (diciembre),1.2,Chico,860.2,129.02,25.8
Campanario,7_dias,7,Temporada Alta (diciembre),1.2,Mediano,1436.4,287.27,86.18
Campanario,7_dias,7,Temporada Alta (diciembre),1.2,Grande,575.7,172.7,51.81
Campanario,30_dias,30,Temporada Baja (cuesta enero),0.85,Chico,2611.2,391.68,78.34
Campanario,30_dias,30,Temporada Baja (cuesta enero),0.85,Mediano,4360.4,872.08,261.62
Campanario,30_dias,30,Temporada Baja (cuesta enero),0.85,Grande,1747.5,524.26,157.28
Campanario,30_dias,30,Temporada Normal,1.0,Chico,3072.0,460.8,92.16
Campanario,30_dias,30,Temporada Normal,1.0,Mediano,5129.9,1025.97,307.79
Campanario,30_dias,30,Temporada Normal,1.0,Grande,2055.9,616.77,185.03
Campanario,30_dias,30,Temporada Alta (diciembre),1.2,Chico,3686.4,552.96,110.59
Campanario,30_dias,30,Temporada Alta (diciembre),1.2,Mediano,6155.8,1231.17,369.35
Campanario,30_dias,30,Temporada Alta (diciembre),1.2,Grande,2467.1,740.13,222.04
Campanario,90_dias,90,Temporada Baja (cuesta enero),0.85,Chico,7833.7,1175.05,235.01
Campanario,90_dias,90,Temporada Baja (cuesta enero),0.85,Mediano,13081.1,2616.23,784.87
Campanario,90_dias,90,Temporada Baja (cuesta enero),0.85,Grande,5242.6,1572.77,471.83
Campanario,90_dias,90,Temporada Normal,1.0,Chico,9216.1,1382.41,276.48
Campanario,90_dias,90,Temporada Normal,1.0,Mediano,15389.6,3077.91,923.37
Campanario,90_dias,90,Temporada Normal,1.0,Grande,6167.7,1850.32,555.09
Campanario,90_dias,90,Temporada Alta (diciembre),1.2,Chico,11059.3,1658.89,331.78
Campanario,90_dias,90,Temporada Alta (diciembre),1.2,Mediano,18467.5,3693.5,1108.05
Campanario,90_dias,90,Temporada Alta (diciembre),1.2,Grande,7401.3,2220.38,666.11
Centro Sur,7_dias,7,Temporada Baja (cuesta enero),0.85,Chico,362.0,54.31,10.86
Centro Sur,7_dias,7,Temporada Baja (cuesta enero),0.85,Mediano,604.6,120.91,36.27
Centro Sur,7_dias,7,Temporada Baja (cuesta enero),0.85,Grande,242.3,72.69,21.81
Centro Sur,7_dias,7,Temporada Normal,1.0,Chico,425.9,63.89,12.78
Centro Sur,7_dias,7,Temporada Normal,1.0,Mediano,711.2,142.25,42.67
Centro Sur,7_dias,7,Temporada Normal,1.0,Grande,285.0,85.51,25.65
Centro Sur,7_dias,7,Temporada Alta (diciembre),1.2,Chico,511.1,76.67,15.33
Centro Sur,7_dias,7,Temporada Alta (diciembre),1.2,Mediano,853.5,170.7,51.21
Centro Sur,7_dias,7,Temporada Alta (diciembre),1.2,Grande,342.1,102.62,30.79
Centro Sur,30_dias,30,Temporada Baja (cuesta enero),0.85,Chico,1551.6,232.74,46.55
Centro Sur,30_dias,30,Temporada Baja (cuesta enero),0.85,Mediano,2591.0,518.19,155.46
Centro Sur,30_dias,30,Temporada Baja (cuesta enero),0.85,Grande,1038.4,311.52,93.45
Centro Sur,30_dias,30,Temporada Normal,1.0,Chico,1825.4,273.81,54.76
Centro Sur,30_dias,30,Temporada Normal,1.0,Mediano,3048.2,609.64,182.89
Centro Sur,30_dias,30,Temporada Normal,1.0,Grande,1221.6,366.49,109.95
Centro Sur,30_dias,30,Temporada Alta (diciembre),1.2,Chico,2190.5,328.57,65.71
Centro Sur,30_dias,30,Temporada Alta (diciembre),1.2,Mediano,3657.8,731.57,219.47
Centro Sur,30_dias,30,Temporada Alta (diciembre),1.2,Grande,1466.0,439.79,131.94
Centro Sur,90_dias,90,Temporada Baja (cuesta enero),0.85,Chico,4654.8,698.22,139.64
Centro Sur,90_dias,90,Temporada Baja (cuesta enero),0.85,Mediano,7772.9,1554.58,466.37
Centro Sur,90_dias,90,Temporada Baja (cuesta enero),0.85,Grande,3115.2,934.55,280.36
Centro Sur,90_dias,90,Temporada Normal,1.0,Chico,5476.2,821.44,164.29
Centro Sur,90_dias,90,Temporada Normal,1.0,Mediano,9144.6,1828.92,548.68
Centro Sur,90_dias,90,Temporada Normal,1.0,Grande,3664.9,1099.47,329.84
Centro Sur,90_dias,90,Temporada Alta (diciembre),1.2,Chico,6571.5,985.72,197.14
Centro Sur,90_dias,90,Temporada Alta (diciembre),1.2,Mediano,10973.5,2194.7,658.41
Centro Sur,90_dias,90,Temporada Alta (diciembre),1.2,Grande,4397.9,1319.36,395.81
El Refugio,7_dias,7,Temporada Baja (cuesta enero),0.85,Chico,488.5,73.27,14.65
El Refugio,7_dias,7,Temporada Baja (cuesta enero),0.85,Mediano,815.7,163.13,48.94
El Refugio,7_dias,7,Temporada Baja (cuesta enero),0.85,Grande,326.9,98.07,29.42
El Refugio,7_dias,7,Temporada Normal,1.0,Chico,574.7,86.2,17.24
El Refugio,7_dias,7,Temporada Normal,1.0,Mediano,959.6,191.92,57.58
El Refugio,7_dias,7,Temporada Normal,1.0,Grande,384.6,115.37,34.61
El Refugio,7_dias,7,Temporada Alta (diciembre),1.2,Chico,689.6,103.44,20.69
El Refugio,7_dias,7,Temporada Alta (diciembre),1.2,Mediano,1151.5,230.3,69.09
El Refugio,7_dias,7,Temporada Alta (diciembre),1.2,Grande,461.5,138.45,41.53
