fecha,sucursal,tamano,n_tickets,ingreso_total_mxn,n_con_bebida,tasa_conversion_bebida
2025-06-01,Campanario,Chico,103,17005.0,79,0.767
2025-06-01,Campanario,Grande,53,14085.0,42,0.7925
2025-06-01,Campanario,Mediano,158,33950.0,120,0.7595
2025-06-01,Centro Sur,Chico,57,9310.0,41,0.7193
2025-06-01,Centro Sur,Grande,30,7850.0,21,0.7
2025-06-01,Centro Sur,Mediano,93,20110.0,74,0.7957
2025-06-01,El Refugio,Chico,77,12420.0,53,0.6883
2025-06-01,El Refugio,Grande,49,12845.0,34,0.6939
2025-06-01,El Refugio,Mediano,129,27490.0,93,0.7209
2025-06-01,Jurica,Chico,70,11400.0,50,0.7143
2025-06-01,Jurica,Grande,29,7780.0,25,0.8621
2025-06-01,Jurica,Mediano,86,18255.0,60,0.6977
2025-06-01,Juriquilla,Chico,98,15815.0,66,0.6735
2025-06-01,Juriquilla,Grande,65,17140.0,48,0.7385
2025-06-01,Juriquilla,Mediano,164,35320.0,128,0.7805
2025-06-02,Campanario,Chico,100,16410.0,74,0.74
2025-06-02,Campanario,Grande,74,19585.0,56,0.7568
2025-06-02,Campanario,Mediano,178,37770.0,125,0.7022
2025-06-02,Centro Sur,Chico,48,7820.0,34,0.7083
2025-06-02,Centro Sur,Grande,46,12020.0,31,0.6739
2025-06-02,Centro Sur,Mediano,119,25880.0,99,0.8319
2025-06-02,El Refugio,Chico,72,11935.0,57,0.7917
2025-06-02,El Refugio,Grande,49,12685.0,30,0.6122
2025-06-02,El Refugio,Mediano,155,32970.0,110,0.7097
2025-06-02,Jurica,Chico,66,10860.0,50,0.7576
2025-06-02,Jurica,Grande,40,10615.0,31,0.775
2025-06-02,Jurica,Mediano,99,21330.0,78,0.7879
2025-06-02,Juriquilla,Chico,110,18245.0,87,0.7909
2025-06-02,Juriquilla,Grande,70,18725.0,59,0.8429
2025-06-02,Juriquilla,Mediano,188,40185.0,139,0.7394
2025-06-03,Campanario,Chico,103,17020.0,80,0.7767
2025-06-03,Campanario,Grande,61,16145.0,46,0.7541
2025-06-03,Campanario,Mediano,181,38735.0,135,0.7459
2025-06-03,Centro Sur,Chico,47,7760.0,36,0.766
2025-06-03,Centro Sur,Grande,54,14050.0,35,0.6481
2025-06-03,Centro Sur,Mediano,113,24730.0,98,0.8673
2025-06-03,El Refugio,Chico,90,14785.0,68,0.7556
2025-06-03,El Refugio,Grande,68,17985.0,52,0.7647
2025-06-03,El Refugio,Mediano,140,30040.0,106,0.7571
2025-06-03,Jurica,Chico,73,12240.0,61,0.8356
2025-06-03,Jurica,Grande,29,7720.0,23,0.7931
2025-06-03,Jurica,Mediano,102,21730.0,74,0.7255
2025-06-03,Juriquilla,Chico,107,17520.0,79,0.7383
2025-06-03,Juriquilla,Grande,67,17485.0,45,0.6716
2025-06-03,Juriquilla,Mediano,223,47955.0,172,0.7713
2025-06-04,Campanario,Chico,111,17990.0,77,0.6937
2025-06-04,Campanario,Grande,76,20180.0,59,0.7763
2025-06-04,Campanario,Mediano,176,38275.0,146,0.8295
2025-06-04,Centro Sur,Chico,66,10860.0,50,0.7576
2025-06-04,Centro Sur,Grande,39,10290.0,29,0.7436
2025-06-04,Centro Sur,Mediano,90,19495.0,73,0.8111
2025-06-04,El Refugio,Chico,77,12620.0,57,0.7403
2025-06-04,El Refugio,Grande,62,16360.0,46,0.7419
2025-06-04,El Refugio,Mediano,147,31680.0,115,0.7823
2025-06-04,Jurica,Chico,58,9450.0,42,0.7241
2025-06-04,Jurica,Grande,44,11585.0,32,0.7273
2025-06-04,Jurica,Mediano,111,23855.0,85,0.7658
2025-06-04,Juriquilla,Chico,113,18735.0,90,0.7965
2025-06-04,Juriquilla,Grande,64,16810.0,46,0.7188
2025-06-04,Juriquilla,Mediano,180,38575.0,136,0.7556
2025-06-05,Campanario,Chico,105,17380.0,83,0.7905
2025-06-05,Campanario,Grande,69,18235.0,52,0.7536
2025-06-05,Campanario,Mediano,187,40180.0,143,0.7647
2025-06-05,Centro Sur,Chico,68,11170.0,51,0.75
2025-06-05,Centro Sur,Grande,44,11590.0,32,0.7273
2025-06-05,Centro Sur,Mediano,121,26140.0,96,0.7934
2025-06-05,El Refugio,Chico,103,16945.0,77,0.7476
2025-06-05,El Refugio,Grande,59,15520.0,42,0.7119
2025-06-05,El Refugio,Mediano,148,31905.0,116,0.7838
2025-06-05,Jurica,Chico,60,9850.0,45,0.75
2025-06-05,Jurica,Grande,37,9680.0,25,0.6757
2025-06-05,Jurica,Mediano,128,27550.0,100,0.7812
2025-06-05,Juriquilla,Chico,113,18560.0,85,0.7522
2025-06-05,Juriquilla,Grande,80,21070.0,58,0.725
2025-06-05,Juriquilla,Mediano,177,37835.0,130,0.7345
2025-06-06,Campanario,Chico,100,16640.0,80,0.8
2025-06-06,Campanario,Grande,65,16885.0,42,0.6462
2025-06-06,Campanario,Mediano,141,30475.0,112,0.7943
2025-06-06,Centro Sur,Chico,58,9120.0,33,0.569
2025-06-06,Centro Sur,Grande,35,9250.0,26,0.7429
2025-06-06,Centro Sur,Mediano,88,18920.0,68,0.7727
2025-06-06,El Refugio,Chico,78,12780.0,58,0.7436
2025-06-06,El Refugio,Grande,47,12470.0,37,0.7872
2025-06-06,El Refugio,Mediano,111,24085.0,91,0.8198
2025-06-06,Jurica,Chico,64,10590.0,51,0.7969
2025-06-06,Jurica,Grande,39,10375.0,31,0.7949
2025-06-06,Jurica,Mediano,90,19030.0,62,0.6889
2025-06-06,Juriquilla,Chico,79,13025.0,61,0.7722
2025-06-06,Juriquilla,Grande,76,20040.0,56,0.7368
2025-06-06,Juriquilla,Mediano,167,35655.0,122,0.7305
2025-06-07,Campanario,Chico,97,15620.0,65,0.6701
2025-06-07,Campanario,Grande,66,16955.0,37,0.5606
2025-06-07,Campanario,Mediano,148,31765.0,112,0.7568
2025-06-07,Centro Sur,Chico,59,9605.0,42,0.7119
2025-06-07,Centro Sur,Grande,40,10450.0,27,0.675
2025-06-07,Centro Sur,Mediano,93,20080.0,74,0.7957
2025-06-07,El Refugio,Chico,78,12775.0,58,0.7436
2025-06-07,El Refugio,Grande,45,11860.0,33,0.7333
2025-06-07,El Refugio,Mediano,134,28910.0,106,0.791
2025-06-07,Jurica,Chico,54,8790.0,38,0.7037
2025-06-07,Jurica,Grande,36,9545.0,28,0.7778
2025-06-07,Jurica,Mediano,75,16260.0,61,0.8133
2025-06-07,Juriquilla,Chico,102,16735.0,76,0.7451
2025-06-07,Juriquilla,Grande,78,20620.0,59,0.7564
2025-06-07,Juriquilla,Mediano,165,35380.0,124,0.7515
2025-06-08,Campanario,Chico,107,17215.0,71,0.6636
2025-06-08,Campanario,Grande,56,14590.0,36,0.6429
2025-06-08,Campanario,Mediano,159,34235.0,124,0.7799
2025-06-08,Centro Sur,Chico,67,11010.0,50,0.7463
2025-06-08,Centro Sur,Grande,34,8935.0,24,0.7059
2025-06-08,Centro Sur,Mediano,83,17990.0,67,0.8072
2025-06-08,El Refugio,Chico,66,10810.0,49,0.7424
2025-06-08,El Refugio,Grande,49,13040.0,39,0.7959
2025-06-08,El Refugio,Mediano,120,25840.0,93,0.775
2025-06-08,Jurica,Chico,59,9525.0,40,0.678
2025-06-08,Jurica,Grande,39,10325.0,30,0.7692
2025-06-08,Jurica,Mediano,80,16770.0,50,0.625
2025-06-08,Juriquilla,Chico,94,15520.0,72,0.766
2025-06-08,Juriquilla,Grande,60,15625.0,39,0.65
2025-06-08,Juriquilla,Mediano,143,30460.0,102,0.7133
2025-06-09,Campanario,Chico,96,15630.0,69,0.7188
2025-06-09,Campanario,Grande,70,18410.0,50,0.7143
2025-06-09,Campanario,Mediano,190,41090.0,152,0.8
2025-06-09,Centro Sur,Chico,68,11285.0,54,0.7941
2025-06-09,Centro Sur,Grande,49,12845.0,34,0.6939
2025-06-09,Centro Sur,Mediano,120,25500.0,84,0.7
2025-06-09,El Refugio,Chico,81,13040.0,54,0.6667
2025-06-09,El Refugio,Grande,59,15685.0,47,0.7966
2025-06-09,El Refugio,Mediano,146,31365.0,111,0.7603
2025-06-09,Jurica,Chico,60,9930.0,47,0.7833
2025-06-09,Jurica,Grande,37,9630.0,24,0.6486
2025-06-09,Jurica,Mediano,106,22595.0,76,0.717
2025-06-09,Juriquilla,Chico,112,18260.0,81,0.7232
2025-06-09,Juriquilla,Grande,64,17005.0,50,0.7812
2025-06-09,Juriquilla,Mediano,201,43035.0,150,0.7463
2025-06-10,Campanario,Chico,96,15845.0,74,0.7708
2025-06-10,Campanario,Grande,67,17775.0,52,0.7761
2025-06-10,Campanario,Mediano,182,38640.0,127,0.6978
2025-06-10,Centro Sur,Chico,53,8595.0,37,0.6981
2025-06-10,Centro Sur,Grande,48,12685.0,36,0.75
2025-06-10,Centro Sur,Mediano,100,21240.0,70,0.7
2025-06-10,El Refugio,Chico,84,13965.0,67,0.7976
2025-06-10,El Refugio,Grande,66,17275.0,46,0.697
2025-06-10,El Refugio,Mediano,155,33070.0,113,0.729
2025-06-10,Jurica,Chico,64,10560.0,49,0.7656
2025-06-10,Jurica,Grande,36,9515.0,27,0.75
2025-06-10,Jurica,Mediano,102,21845.0,76,0.7451
2025-06-10,Juriquilla,Chico,127,20875.0,96,0.7559
2025-06-10,Juriquilla,Grande,71,18755.0,53,0.7465
2025-06-10,Juriquilla,Mediano,171,36770.0,132,0.7719
2025-06-11,Campanario,Chico,126,20290.0,84,0.6667
2025-06-11,Campanario,Grande,95,25340.0,77,0.8105
2025-06-11,Campanario,Mediano,182,38945.0,136,0.7473
2025-06-11,Centro Sur,Chico,61,10080.0,47,0.7705
2025-06-11,Centro Sur,Grande,39,10165.0,26,0.6667
