fecha,categoria,producto,cantidad_valor,cantidad_unidad,especificacion_original,unidad_confirmada,categoria_real,unidad_final
2026-02-22,Mariscos,Atún Nacional,3.0,kg,3 kg,True,Mariscos,kg
2026-02-22,Mariscos,Salmón,2.0,L,2 L,True,Mariscos,L
2026-02-22,Mariscos,Camarón,4.0,kg,4 kg,True,Mariscos,kg
2026-02-22,Abastos,Limón,4.0,kg,4 kg,True,Abastos - Vegetales,kg
2026-02-22,Abastos,Pepino,12.0,kg,12 Kg,True,Abastos,kg
2026-02-22,Abastos,Mango,6.0,kg,6kg verdes y 6kg maduros,True,Abastos - Vegetales,kg
2026-02-22,Abastos,Aguacate,4.0,kg,4kg maduro y 5kg verdes,True,Abastos,kg
2026-02-22,Abastos,Betabel,1.0,kg,1 kg,True,Abastos,kg
2026-02-22,Abastos,Jícama,2.0,kg,2 kg,True,Abastos - Vegetales,kg
2026-02-22,Abastos,Cilantro,1.0,manojo,1 manojo chico,True,Abastos,manojo
2026-02-22,Abastos,Germen de Soya,1.0,kg,1kg,True,Abastos - Vegetales,kg
2026-02-22,Abastos,Piña,2.0,pz,2 piezas,True,Abastos - Vegetales,pz
2026-02-22,Semillas,Ajonjolí Blanco,1.0,kg,1 kg,True,Semillas,kg
2026-02-22,Semillas,Ajonjolí Negro,1.0,kg,1 kg,True,Semillas,kg
2026-02-22,Semillas,Guantes Medianos,1.0,,1,False,Utensilios,paquete
2026-02-22,Semillas,Guantes Grandes,1.0,,1,False,Utensilios,paquete
2026-02-22,Semillas,Ajonjolí Cremoso,2.0,,2,False,Semillas y Toppings,kg
2026-02-22,Semillas,Masago,1.0,,1,False,Mariscos y Proteinas,kg
2026-02-22,Semillas,Veggie Dumplings,2.0,,2,False,Congelados,paquete
2026-02-22,Semillas,Arroz Blanco,1.0,,1,False,Abastos - Granos,kg
2026-02-22,Semillas,Jengibre,1.0,,1,False,Abastos - Vegetales,kg
2026-02-22,Semillas,Edamames,1.0,,1,False,Mariscos y Proteinas,kg
2026-02-22,Semillas,Sriracha,1.0,,1,False,Salsas y Condimentos,L
2026-02-22,Semillas,Leche de Coco,1.0,,1,False,Abastos - Lacteos,L
2026-02-22,Semillas,Arroz Integral,1.0,,1,False,Abastos - Granos,kg
2026-02-22,Semillas,Alga Nori (Seaweed),2.0,,2,False,Semillas y Toppings,kg
2026-02-22,Semillas,Kanikama,1.5,kg,1.5 kg,True,Mariscos y Proteinas,kg
2026-02-22,Semillas,Palillos,2.0,,2,False,Desechables - Papel,paquete
2026-02-22,Bebidas,Limón,8.0,,8,False,Abastos - Vegetales,kg
2026-02-22,Bebidas,Maracuyá,4.0,,4,False,Insumos para Bebidas Preparadas,L
2026-02-22,Bebidas,Horchata,3.0,,3,False,Insumos para Bebidas Preparadas,L
2026-02-22,Bebidas,Crema de Coco,6.0,,6,False,Abastos - Lacteos,L
2026-02-22,Bebidas,Agua de Jamaica,5.0,,5,False,Insumos para Bebidas Preparadas,L
2026-02-22,Bebidas,Fresa,3.0,,3,False,Abastos - Vegetales,kg
2026-02-22,Bebidas,Pulpo,1.0,kg,1kg,True,Mariscos y Proteinas,kg
2026-02-22,Bebidas,Almendra Molida,300.0,g,300 gr,True,Bebidas,g
2026-02-22,Bebidas,Toalla en Rollo,1.0,caja,1 caja,True,Desechables - Papel,caja
2026-02-22,Bebidas,Vitafilm,1.0,,1,False,Desechables - Papel,paquete
2026-02-22,Bebidas,Mayonesa,2.0,,2,False,Salsas y Condimentos,L
2026-02-22,Bebidas,Yogurt Natural,3.0,,3,False,Abastos - Lacteos,L
2026-02-22,Bebidas,Servilletas,1.0,,1,False,Desechables - Papel,paquete
2026-02-22,Bebidas,Cloro,1.0,,1,False,Limpieza,L
2026-02-22,Bebidas,Chipotle,12.0,,12,False,Salsas y Condimentos,kg
2026-02-22,Bebidas,Agua Natural,1.0,,1,False,Bebidas Embotelladas,pza
2026-02-22,Bebidas,Salsa Macha,2.0,,2,False,Salsas y Condimentos,L
2026-02-22,Bebidas,Coca-Cola Light,1.0,,1,False,Bebidas Embotelladas,pza
2026-02-22,Bebidas,Coca-Cola,1.0,,1,False,Bebidas Embotelladas,pza
2026-02-22,Bebidas,Dumpling de Pollo,2.0,,2,False,Congelados,paquete
2026-02-22,Bebidas,Agua de Coco,1.0,,1,False,Bebidas Embotelladas,pza
2026-02-22,Bebidas,Queso Philadelphia,1.0,,1,False,Abastos - Lacteos,kg
2026-02-22,Bebidas,Limpiador de Vidrios,1.0,,1,False,Limpieza,L
2026-02-22,Otros,Quinoa,2.0,,2,False,Abastos - Granos,kg
2026-02-22,Otros,Obleas,15.0,,15,False,Desechables - Papel,paquete
2026-02-25,Mariscos,Atún Nacional,6.0,kg,6 kg,True,Mariscos,kg
2026-02-25,Mariscos,Atún Importado,4.0,kg,4 kg,True,Mariscos,kg
2026-02-25,Mariscos,Salmón,3.0,lonjas,3 lonjas,True,Mariscos,lonjas
2026-02-25,Mariscos,Camarón,2.0,kg,2 kg,True,Mariscos,kg
2026-02-25,Abastos,Mango,10.0,kg,10 kg verde y 6 kg maduro,True,Abastos - Vegetales,kg
2026-02-25,Abastos,Pepino,12.0,kg,12 kg,True,Abastos,kg
2026-02-25,Abastos,Aguacate,5.0,kg,5 kg maduro y 4 kg verde,True,Abastos,kg
2026-02-25,Abastos,Zanahoria,3.0,kg,3 kg,True,Abastos,kg
2026-02-25,Abastos,Cilantro,1.0,manojo,1 manojo grande,True,Abastos,manojo
2026-02-25,Abastos,Cebolla,15.0,kg,15 kg,True,Abastos,kg
2026-02-25,Abastos,Chile Jalapeño,2.0,kg,2 kg,True,Abastos,kg
2026-02-25,Abastos,Germen de Soya,1.0,kg,1 kg,True,Abastos - Vegetales,kg
2026-02-25,Abastos,Limón,4.5,kg,4.5 kg,True,Abastos - Vegetales,kg
2026-02-25,Abastos,Jícama,1.0,grande,1 grande,True,Abastos - Vegetales,grande
2026-02-25,Abastos,Girasol Garapiñado,1.0,kg,1 kg,True,Abastos,kg
2026-02-25,Abastos,Ajonjolí Garapiñado,1.0,kg,1 kg,True,Abastos,kg
2026-02-25,Abastos,Platanitos,1.0,bolsa,1 bolsa,True,Semillas y Toppings,bolsa
2026-02-25,Bebidas,Agua de Jamaica,8.0,,8,False,Insumos para Bebidas Preparadas,L
2026-02-25,Bebidas,Limón,8.0,,8,False,Abastos - Vegetales,kg
2026-02-25,Bebidas,Coco,8.0,,8,False,Abastos - Vegetales,kg
2026-02-25,Bebidas,Horchata,8.0,,8,False,Insumos para Bebidas Preparadas,L
2026-02-25,Bebidas,Fresa,8.0,,8,False,Abastos - Vegetales,kg
2026-02-25,Bebidas,Maracuyá,8.0,,8,False,Insumos para Bebidas Preparadas,L
2026-03-01,Mariscos,Atún Nacional,5.0,kg,5 kg,True,Mariscos,kg
2026-03-01,Mariscos,Atún Importado,3.0,kg,3 kg,True,Mariscos,kg
2026-03-01,Mariscos,Salmón,4.0,L,4 L,True,Mariscos,L
2026-03-01,Mariscos,Camarón,4.0,kg,4 kg,True,Mariscos,kg
2026-03-01,Abastos,Limón,4.0,kg,4 kg,True,Abastos - Vegetales,kg
2026-03-01,Abastos,Mango,6.0,kg,6 kg verdes y 7 kg maduros,True,Abastos - Vegetales,kg
2026-03-01,Abastos,Pepino,11.0,kg,11 kg,True,Abastos,kg
2026-03-01,Abastos,Aguacate,4.0,kg,4kg maduro y 6kg verdes,True,Abastos,kg
2026-03-01,Abastos,Piña,2.0,chicas,2 chicas,True,Abastos - Vegetales,chicas
2026-03-01,Abastos,Zanahoria,3.0,kg,3 kg,True,Abastos,kg
2026-03-01,Abastos,Betabel,2.0,kg,2 kg,True,Abastos,kg
2026-03-01,Abastos,Jícama,2.0,kg,2 kg,True,Abastos - Vegetales,kg
2026-03-01,Abastos,Cilantro,1.0,manojo,1 manojo grande,True,Abastos,manojo
2026-03-01,Abastos,Perejil,1.0,manojo,1 manojo chico,True,Abastos,manojo
2026-03-01,Abastos,Chile de Árbol,200.0,g,200 gr,True,Abastos,g
2026-03-01,Abastos,Germen de Soya,1.5,kg,1.5 kg,True,Abastos - Vegetales,kg
2026-03-01,Semillas,Ajonjolí Blanco,500.0,g,500 gr,True,Semillas,g
2026-03-01,Semillas,Ajonjolí Negro,500.0,g,500 gr,True,Semillas,g
2026-03-01,Semillas,Girasol,500.0,g,500 gr,True,Semillas,g
2026-03-01,Semillas,Platanitos,1.0,bolsa,1 bolsa,True,Semillas y Toppings,bolsa
2026-03-01,Desechables,Bowl Grande c/Tapa,1.0,,1,False,Utensilios,pza
2026-03-01,Desechables,Bowl Mediano c/Tapa,1.0,,1,False,Utensilios,pza
2026-03-01,Desechables,Salsa de Soya,20.0,L,20 L,True,Salsas y Condimentos,L
2026-03-01,Desechables,Ajonjolí Cremoso,2.0,L,2 L,True,Semillas y Toppings,L
2026-03-01,Desechables,Furikake,500.0,g,500 gr,True,Semillas y Toppings,g
2026-03-01,Desechables,Alga Nori,1.0,,1,False,Semillas y Toppings,kg
2026-03-01,Desechables,Jengibre,1.0,,1,False,Abastos - Vegetales,kg
2026-03-01,Desechables,Jengibre Sazonado,1.0,,1,False,Abastos - Vegetales,kg
